id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef068007,https://www.airbnb.es/rooms/14226883,-0.38366466412423766,39.47427857791646,2017-08-15 17:08:44.859000,2017-10-11 01:20:39.092000,airbnb86320439,entire_home,3,6,6,2,89
airbnb599232358a46554f807aef068008,https://www.airbnb.es/rooms/20281051,-0.3837514876414926,39.474249420768,2017-08-15 17:08:32.156000,2018-09-22 07:06:35.446000,airbnb17488147,entire_home,2,3,31,2,
airbnb599232358a46554f807aef068009,https://www.airbnb.es/rooms/8176722,-0.3840360512112654,39.47420557242024,2017-08-15 17:08:49.162000,2018-09-22 06:36:11.443000,airbnb43152079,private_room,1,2,26,5,
airbnb599232358a46554f807aef068010,https://www.airbnb.es/rooms/9607331,-0.38401793075521656,39.47473334838502,2017-08-15 17:08:32.155000,2017-10-11 01:17:51.395000,airbnb27832721,entire_home,3,6,44,1,60
airbnb599232358a46554f807aef068011,https://www.airbnb.es/rooms/25229522,-0.38421372504385504,39.47468341481817,2018-05-25 13:49:33.699000,2018-09-22 07:09:55.576000,airbnb190618049,entire_home,2,4,14,2,
airbnb599232358a46554f807aef068012,https://www.airbnb.es/rooms/21941390,-0.3840220001589498,39.474894182180314,2018-04-24 14:11:08.627000,2018-09-22 07:09:05.306000,airbnb80681664,entire_home,2,3,32,3,
airbnb599232358a46554f807aef068013,https://www.airbnb.es/rooms/16800347,-0.3840969860194665,39.47494286776216,2017-08-15 17:08:53.282000,2017-10-11 01:22:53.863000,airbnb63871501,entire_home,1,2,0,4,150
airbnb599232358a46554f807aef068014,https://www.airbnb.es/rooms/17295278,-0.3839609489177204,39.47520029094343,2017-08-15 17:08:32.155000,2018-06-02 03:30:48.497000,airbnb33632500,entire_home,2,4,30,2,55
airbnb599232358a46554f807aef068015,https://www.airbnb.es/rooms/5081227,-0.38417377271041964,39.47571400809406,2017-08-15 17:08:36.057000,2018-09-22 07:11:32.990000,airbnb22424856,entire_home,3,6,98,2,
airbnb599232358a46554f807aef068016,https://www.airbnb.es/rooms/19667943,-0.38383081238159716,39.47577859878595,2017-08-15 17:08:53.282000,2018-09-22 07:06:07.394000,airbnb17488147,entire_home,2,3,29,3,
airbnb599232358a46554f807aef068017,https://www.airbnb.es/rooms/11438571,-0.3837188660044441,39.475871970602434,2017-08-15 17:08:28.039000,2018-09-22 07:03:42.211000,airbnb15677841,entire_home,3,4,137,2,
airbnb599232358a46554f807aef068018,https://www.airbnb.es/rooms/14019904,-0.384,39.476,2017-08-15 17:08:39.986000,2018-09-22 07:08:58.823000,airbnb48542379,entire_home,4,6,61,2,
airbnb599232358a46554f807aef068019,https://www.airbnb.es/rooms/5119524,-0.384,39.476,2018-04-24 14:14:19.491000,2018-05-13 08:19:26.561000,airbnb1240766,entire_home,3,5,7,2,92
airbnb599232358a46554f807aef068020,https://www.airbnb.es/rooms/11746461,-0.3841774137004276,39.47602974084311,2017-08-15 17:08:53.283000,2018-09-22 06:35:38.272000,airbnb19904708,private_room,0,3,4,1,
airbnb599232358a46554f807aef068021,https://www.airbnb.es/rooms/17476073,-0.384190805869495,39.476156540748825,2017-08-15 17:08:36.057000,2018-09-22 07:11:13.235000,airbnb12723722,entire_home,1,2,18,3,
airbnb599232358a46554f807aef068022,https://www.airbnb.es/rooms/12583920,-0.38404107363373186,39.476660610230454,2017-08-15 17:08:49.163000,2018-06-02 03:33:28.875000,airbnb41453534,private_room,1,1,1,6,36
airbnb599232358a46554f807aef068023,https://www.airbnb.es/rooms/21047515,-0.3837450629243432,39.476481652148486,2018-04-24 14:14:27.353000,2018-06-02 03:32:58.552000,airbnb135378765,private_room,1,3,1,2,29
airbnb599232358a46554f807aef068024,https://www.airbnb.es/rooms/27685299,-0.3835175791907816,39.47620566389319,2018-08-27 05:34:15.508000,2018-09-22 07:08:44.656000,airbnb70743495,private_room,1,2,2,3,
airbnb599232358a46554f807aef068025,https://www.airbnb.es/rooms/6441709,-0.3831051030880618,39.4765186000371,2017-08-15 17:08:39.986000,2018-09-22 07:04:35.309000,airbnb33632500,entire_home,1,3,110,2,
airbnb599232358a46554f807aef068026,https://www.airbnb.es/rooms/808389,-0.38330763535770435,39.476058354078695,2018-08-27 05:34:24.237000,2018-09-22 06:34:48.163000,airbnb4253149,entire_home,0,6,6,7,
airbnb599232358a46554f807aef068027,https://www.airbnb.es/rooms/19806254,-0.38343488753054844,39.47577068422583,2017-08-15 17:08:32.155000,2018-09-22 06:36:30.819000,airbnb36202576,entire_home,2,4,34,2,
airbnb599232358a46554f807aef068028,https://www.airbnb.es/rooms/19636672,-0.38330885786905133,39.47577042931306,2017-08-15 17:08:39.986000,2018-09-22 07:04:41.294000,airbnb67184747,entire_home,2,3,53,2,
airbnb599232358a46554f807aef068029,https://www.airbnb.es/rooms/7082345,-0.38332339940230564,39.47573876288422,2017-08-15 17:08:36.058000,2018-09-22 07:04:47.741000,airbnb15677841,entire_home,1,2,56,2,
airbnb599232358a46554f807aef068030,https://www.airbnb.es/rooms/25466525,-0.3829599330302095,39.47548811660909,2018-08-27 05:34:19.868000,2018-09-22 07:11:59.018000,airbnb192221980,entire_home,4,8,7,2,
airbnb599232358a46554f807aef068031,https://www.airbnb.es/rooms/23663571,-0.383033474270472,39.475736937579974,2018-04-24 14:12:00.921000,2018-09-22 07:06:14.044000,airbnb46375396,entire_home,2,4,25,2,
airbnb599232358a46554f807aef068032,https://www.airbnb.es/rooms/21825113,-0.3829871662511784,39.47585286326363,2018-04-24 14:12:23.874000,2018-06-02 03:33:32.498000,airbnb51487756,entire_home,3,4,4,2,48
airbnb599232358a46554f807aef068033,https://www.airbnb.es/rooms/12421224,-0.3830118441989798,39.47587076816478,2017-08-15 17:08:28.040000,2018-09-22 07:06:42.669000,airbnb67184747,entire_home,2,4,64,2,
